Location;Date;Flpl_NFP;Age;Water height;Plant repeat;Dead;Species;Nb leaves;Presence_Roots;Nb stems;Av length stems;Std length;Av nb nods/stem;Av length internods;Std length internods;;
22;120104;Nfp;43;50;3;A;L;26;II;3;86,3;14,6;11,3;11,3;2,5;;
37;120104;Nfp;43;80;1;D;;;;0;;;;;;;
37;120104;Nfp;43;80;2;A;S;36;II;1;186,0;;23,0;0,1;;;
37;120104;Nfp;43;80;3;A;L;12;I;1;210,0;;19,0;0,5;;;
49;120104;Nfp;43;20;1;A;L;9;I;1;35,0;;7,0;7,0;;;
49;120104;Nfp;43;20;2;D;;;;0;;;;;;;
49;120104;Nfp;43;20;3;D;;;;0;;;;;;;
3;120104;Nfp;43;80;1;A;L;50;II;3;119,3;60,5;14,3;9,4;9,5;;
3;120104;Nfp;43;80;2;A;S;34;II;1;162,0;;22,0;0,1;;;
3;120104;Nfp;43;80;3;A;L;27;II;1;166,0;;16,0;0,1;;;
48;120104;Nfp;43;80;1;A;L;12;I;1;161,0;;19,0;0,2;;;
48;120104;Nfp;43;80;2;A;L;71;I;3;93,3;31,9;16,7;7,7;13,2;;
48;120104;Nfp;43;80;3;A;L;17;II;2;166,5;19,1;16,0;0,2;0,1;;
32;120104;Nfp;43;20;1;A;L;38;II;3;88,0;36,7;9,0;0,2;0,1;;
32;120104;Nfp;43;20;2;A;L;43;II;5;58,2;18,4;11,0;3,8;5,2;;
32;120104;Nfp;43;20;3;A;L;37;I;3;46,0;3,6;12,3;0,1;0,0;;
23;120104;Nfp;43;20;1;A;L;40;I;3;102,0;28,6;14,3;0,2;0,1;;
23;120104;Nfp;43;20;2;A;L;71;II;7;82,1;43,5;8,4;4,1;4,6;;
23;120104;Nfp;43;20;3;A;L;50;I;3;98,3;70,5;10,3;5,4;6,0;;
39;120104;Nfp;43;50;1;A;L;5;N;1;66,0;;8,0;0,1;;;
39;120104;Nfp;43;50;2;A;L;16;I;1;57,0;;6,0;0,1;;;
39;120104;Nfp;43;50;3;A;S;51;II;2;71,0;5,7;9,5;9,5;2,1;;
NF7;120104;Nfp;7;0;1;;;;;;;;;;;;
NF7;120104;Nfp;7;0;2;;;;;;;;;;;;
NF7;120104;Nfp;7;0;3;;;;;;;;;;;;
NF7;120104;Nfp;7;0;4;;;;;;;;;;;;
NF7;120104;Nfp;7;0;5;;;;;;;;;;;;
NF7;120104;Nfp;7;0;6;;;;;;;;;;;;
NF7;120104;Nfp;7;0;7;;;;;;;;;;;;
NF7;120104;Nfp;7;0;8;;;;;;;;;;;;
NF7;120104;Nfp;7;0;9;;;;;;;;;;;;
9;120118;Nfp;57;80;1;A;L;60;I;4;71,5;67,8;9,3;6,6;1,0;;
9;120118;Nfp;57;80;2;A;L;34;II;2;156,0;17,0;17,0;8,7;0,3;;
9;120118;Nfp;57;80;3;A;L;20;I;1;92,0;;15,0;5,8;;;
26;120118;Nfp;57;20;1;A;L;20;N;2;56,0;19,8;10,0;5,0;1,2;;
26;120118;Nfp;57;20;2;A;S;20;II;3;59,0;26,9;11,0;4,8;1,1;;
26;120118;Nfp;57;20;3;A;L;83;II;7;86,7;50,0;10,6;7,2;2,4;;
35;120118;Nfp;57;80;1;A;L;45;II;4;111,0;49,1;13,5;7,5;0,7;;
35;120118;Nfp;57;80;2;A;L;52;II;3;179,0;68,6;16,7;10,1;3,9;;
35;120118;Nfp;57;80;3;A;L;20;I;1;193,0;;20,0;9,2;;;
